도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
송린이음터도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,180,36464,54,0,7,14,경기도 화성시 수노을2로 150,화성시문화재단,031-356-9680,3765,1141,www.hscitylib.or.kr,37.27730478,126.8225294652,2020-09-10,5530000,경기도 화성시
목동이음터도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,168,47422,29,5124,7,14,경기도 화성시 동탄순환대로20길 6,화성시문화재단,031-378-6771,2770,1774,www.hscitylib.or.kr,37.1892961350,127.1238977616,2020-09-10,5530000,경기도 화성시
샘내작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,26,17055,8,461,7,14,경기도 화성시 매송고색로375번길,화성시문화재단,031-292-7307,820,212,www.hscitylib.or.kr,37.24456889,126.9461462,2020-09-10,5530000,경기도 화성시
기아행복마루작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,30,14588,9,751,7,14,경기도 화성시 우정읍 기아자동차로559,화성시문화재단,031-358-2597,652,162,www.hscitylib.or.kr,37.0647000837,126.7956060613,2020-09-10,5530000,경기도 화성시
정남도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,100,43319,72,1324,7,14,경기도 화성시 정남면 만년로527,화성시문화재단,031-8059-4946,1714,567,www.hscitylib.or.kr,37.16824485,126.9831640297,2020-09-10,5530000,경기도 화성시
비봉작은도서관도서관,경기도,화성시,작은도서관,"매주 일,월요일 및 법정공휴일",09:00,18:00,09:00,17:00,00:00,00:00,31,9894,1,120,7,14,경기도 화성시 비봉면 비봉로71번길 1,화성시문화재단,031-355-4551,4232,122,www.hscitylib.or.kr,37.2358185897,126.8738925144,2020-09-10,5530000,경기도 화성시
양감작은도서관도서관,경기도,화성시,작은도서관,"매주 토,일요일 및 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,17,2923,8,0,7,14,경기도 화성시 양감면 초록로7,화성시문화재단,031-5189-3004,4275,75,www.hscitylib.or.kr,37.0816536493,126.9456437753,2020-09-10,5530000,경기도 화성시
마도작은도서관도서관,경기도,화성시,작은도서관,"매주 토,일요일 및 법정공휴일",10:00,18:00,00:00,00:00,00:00,00:00,20,2341,8,0,7,14,경기도 화성시 마도면 마도북로389,화성시문화재단,031-5189-2338,6022,131,www.hscitylib.or.kr,37.2054859998,126.7696447718,2020-09-10,5530000,경기도 화성시
전라남도고흥평생교육관,전라남도,고흥군,공공도서관,둘째 넷째주 월요일,09:00,18:00,09:00,17:00,00:00,00:00,24,99265,40,4542,10,14,고흥군 고흥읍 고흥로 1647-13,전라남도고흥평생교육관,061-830-2592,9075,3757,http://ghlife.jne.go.kr,,,2020-07-01,8490000,전라남도교육청
장성공공도서관,전라남도,장성군,공공도서관,둘째 넷째주 월요일,07:30,22:00,07:30,22:00,00:00,00:00,403,114837,66,13189,10,15,장성군 장성읍 청운7길 22,전라남도교육청,061-399-1630,6720,3652,http://jslib.jne.go.kr,35.304787,126.784719,2020-07-01,8490000,전라남도교육청
남평공공도서관,전라남도,나주시,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),07:30,22:00,07:30,22:00,07:30,22:00,303,83969,34,4772,7,14,나주시 남평읍 남평3로,전라남도교육청,061-337-9436,1280,1216,http:www.nplib.jne.or.kr,35.042839,126.844957,2020-07-01,8490000,전라남도교육청
광양공공도서관,전라남도,광양시,공공도서관,매주 월요일/국경일/ 법정공휴일/ 대체공휴일/ 특별한사유로 관장이 지정한 날(임시휴관일),08:00,22:00,08:00,22:00,00:00,00:00,700,97389,59,9858,10,14,광양시 중마로 262,광양공공도서관,061-797-5300,4981,4134,gylib.jne.go.kr,,,2020-07-01,8490000,전라남도교육청
방학동영유아플라자,서울특별시,서울특별시 도봉구,공공도서관,매주일요일,09:30,17:30,10:00,15:00,00:00,00:00,0,13343,0,2574,5,14,서울특별시 도봉구 도봉구 방학로 12길 28 (방학동),,02-3494-3557,2173,103,http://www.doccic.go.kr/youngua/,37.663230,127.0303300,2018-05-01,3090000,서울특별시 도봉구
창동영유아플라자,서울특별시,서울특별시 도봉구,공공도서관,매주월요일,09:30,17:30,00:00,00:00,10:00,15:00,0,4564,0,1138,5,14,서울특별시 도봉구 도봉구 우이천로4길 24-5 (창동),,02-994-3372,1190,46,http://www.doccic.go.kr/youngua/,37.633510,127.041100,2018-05-01,3090000,서울특별시 도봉구
무수골 도서관,서울특별시,서울특별시 도봉구,어린이도서관,매주월요일,09:00,18:00,09:00,17:00,09:00,17:00,12,30899,0,949,5,14,서울특별시 도봉구 도봉구 도봉로175길 10,,02-3492-0078,1023,356,http://www.unilib.dobong.kr/,37.6829589,127.0428608,2018-05-01,3090000,서울특별시 도봉구
거북골 작은도서관,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,13:00,17:00,00:00,00:00,00:00,00:00,30,14000,0,0,5,14,인천광역시 서구 거북로 116,,032-201-9811,,,,37.5025911,126.6746007,2021-04-07,3560000,인천광역시 서구
건지골 마을문고,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,28,10412,0,0,4,14,인천광역시 서구 원적로 57번길 4,,032-577-7747,,,,37.49250983,126.6800417,2021-04-07,3560000,인천광역시 서구
당하동 꿈도서관,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,10:00,18:00,00:00,00:00,00:00,00:00,40,9327,0,0,0,0,인천광역시 서구 청마로167번길 19,,032-564-4617,,,,37.59210105,126.6746306,2021-04-07,3560000,인천광역시 서구
원당동 작은도서관,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,15000,0,0,0,0,인천광역시 서구 고산로 24,,032-561-3401,,,,37.59508098,126.7017075,2021-04-07,3560000,인천광역시 서구
금곡하나아파트 문고,인천광역시,서구,작은도서관,매주 일요일+법정공휴일,09:00,17:30,09:00,12:00,00:00,00:00,12,4914,0,0,2,7,인천광역시 서구 완정로216번길 5,,032-564-3588,,,,37.60379126,126.6527775,2021-04-07,3560000,인천광역시 서구
꿈꾸는 나무 도서관,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,13:00,18:00,00:00,00:00,00:00,00:00,36,8663,3,65,2,14,인천광역시 서구 청라에메랄드로 134,,032-569-7521,,,,37.53671221,126.6570036,2021-04-07,3560000,인천광역시 서구
꿈꾸는 작은도서관,인천광역시,서구,작은도서관,매주 화요일+수요일+금요일+토요일+일요일+법정공휴일,15:00,18:00,00:00,00:00,00:00,00:00,8,4876,0,2,2,7,인천광역시 서구 건지로 402,,032-578-7721,,,,37.49526693,126.6844053,2021-04-07,3560000,인천광역시 서구
꿈나무 작은도서관,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,25,11904,0,2,2,7,인천광역시 서구 가정로112번길 10,,032-560-3188,,,,37.494311,126.672569,2021-04-07,3560000,인천광역시 서구
꿈드림 작은도서관,인천광역시,서구,작은도서관,매주 월요일+토요일+법정공휴일,11:00,18:00,00:00,00:00,00:00,00:00,30,1500,0,0,0,0,인천광역시 서구 봉화로85번길 40-12,,032-566-2235,,,,37.597958,126.635716,2021-04-07,3560000,인천광역시 서구
꿈마을 작은도서관,인천광역시,서구,작은도서관,매주 토요일+법정공휴일,13:00,18:00,00:00,00:00,00:00,00:00,20,1750,50,0,2,7,인천광역시 서구 승학로 566,,032-575-2519,,,,37.566352,126.6825031,2021-04-07,3560000,인천광역시 서구
꿈빛도서관,인천광역시,서구,작은도서관,매주 월요일+법정공휴일,10:00,18:00,14:00,18:00,00:00,00:00,25,1800,3,3,5,15,인천광역시 서구 건지로 370,,032-574-0052,,,,37.49663164,126.6826083,2021-04-07,3560000,인천광역시 서구
꿈사랑 작은도서관,인천광역시,서구,작은도서관,매주 토요일+일요일+법정공휴일,14:00,18:00,00:00,00:00,00:00,00:00,40,11500,3,20,3,7,인천광역시 서구 검단로 446,,032-204-3305,,,,37.6006953,126.6576523,2021-04-07,3560000,인천광역시 서구
느티나무 도서관,인천광역시,서구,작은도서관,매주 월요일+법정공휴일,10:00,19:00,10:00,18:00,00:00,00:00,14,7289,11,55,2,7,인천광역시 서구 건지로 348번길 8,,032-581-4043,,,,37.49701988,126.680236,2021-04-07,3560000,인천광역시 서구
드림파크 어울림 1단지 문고,인천광역시,서구,작은도서관,매주 월수목+법정공휴일,14:00,18:00,00:00,00:00,00:00,00:00,15,4000,0,2,2,7,인천광역시 서구 봉화로 18,,032-561-3807,,,,37.59565987,126.6392635,2021-04-07,3560000,인천광역시 서구
하늘샘작은도서관,대구광역시,북구,작은도서관,"월,법정공휴일",10:00,16:00,10:00,16:00,10:00,16:00,50,2454,0,0,0,0,대구광역시 북구 매전로 4길 10-14,,053-314-0600,,93.48,,35.90800586,128.5429328,2020-12-10,3450000,대구광역시 북구
이편한세상대구금호작은도서관,대구광역시,북구,작은도서관,없음,09:00,23:00,09:00,23:00,09:00,23:00,39,1002,0,0,0,0,대구광역시 북구 내곡로 49,,053-313-9002,,141.37,,35.90104211,128.5088743,2020-12-10,3450000,대구광역시 북구
꿈담도서관,대구광역시,북구,작은도서관,"토, 일, 법정공휴일",10:00,15:00,00:00,00:00,00:00,00:00,51,1500,0,0,0,0,대구광역시 북구 매전로4길 32(한신더휴웨스턴펠리스),,053-262-2202,,156,,35.90622874,128.5420963,2020-12-10,3450000,대구광역시 북구
브라운스톤도서관,대구광역시,북구,작은도서관,"토, 일, 법정공휴일",10:00,16:00,00:00,00:00,00:00,00:00,55,10000,3,0,0,0,대구광역시 북구 내곡로 89(사수동),,053-314-2525,,130.62,,35.90206159,128.514034,2020-12-10,3450000,대구광역시 북구
스타힐스작은도서관,대구광역시,북구,작은도서관,"토, 일, 법정공휴일",14:00,17:00,00:00,00:00,00:00,00:00,20,1000,0,0,0,0,대구광역시 북구 내곡로 70,,053-311-3939,,84.47,,35.9012193341,128.5124077221,2020-12-10,3450000,대구광역시 북구
두빛나래어린이도서관도서관,경기도,화성시,어린이도서관,2번째 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,142,79765,46,2174,7,14,경기도 화성시 동탄숲속로69-14,화성시문화재단,031-8003-0748,13593,1628,www.hscitylib.or.kr,37.2092548432,127.0561049839,2020-09-10,5530000,경기도 화성시
둥지나래어린이도서관도서관,경기도,화성시,어린이도서관,1번째 월요일 및 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,78,73902,59,1902,7,14,경기도 화성시 향남읍 행정중앙2로 88,화성시문화재단,031-353-8162,47003,1619,www.hscitylib.or.kr,37.1291766383,126.9247698153,2020-09-10,5530000,경기도 화성시
진안도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,408,77868,112,2066,7,14,경기도 화성시 병점중앙로229,화성시문화재단,031-224-9977,1565,2931,www.hscitylib.or.kr,37.2173701985,127.0336057796,2020-09-10,5530000,경기도 화성시
석전동새마을문고,경상남도,창원시,작은도서관,매주일요일+국가지정공휴일,10:00,18:00,10:00,12:30,00:00,00:00,22,9669,0,0,5,14,"경상남도 창원시 마산회원구 석전동4길 52(석전동, 석전동주민센터 2층)",새마을문고 석전분회,070-8887-5816,621,76,,35.230282,128.573163,2020-07-14,5670000,경상남도 창원시
회성동새마을문고,경상남도,창원시,작은도서관,국가지정공휴일,14:00,18:00,10:00,16:00,09:00,18:00,20,7051,0,0,5,14,경상남도 창원시 마산회원구 북성로 327,회성동새마을문고,055-230-4936,,,,35.233013,128.5616948436,2020-07-14,5670000,경상남도 창원시
양덕1동새마을문고,경상남도,창원시,작은도서관,국가지정공휴일,12:00,18:00,00:00,00:00,00:00,00:00,6,7642,0,0,2,20,경상남도 창원시 마산회원구 팔용로 25,양덕1동새마을문고,055-255-0330,30,30,,35.2322990335,128.5861879428,2020-07-14,5670000,경상남도 창원시
양덕2동새마을문고,경상남도,창원시,작은도서관,국가지정공휴일,13:00,18:00,00:00,00:00,00:00,00:00,20,11180,0,0,5,14,경상남도 창원시 마산회원구 율림교로 3,양덕2동새마을문고,055-294-5058,90,90,,35.229104,128.5839084934,2020-07-14,5670000,경상남도 창원시
합성2동새마을문고,경상남도,창원시,작은도서관,매주일요일+국가지정공휴일,14:00,18:00,13:00,17:00,00:00,00:00,20,8209,0,0,2,14,경상남도 창원시 마산회원구 합성남8길46,합성2동새마을문고,055-299-1908,630,65,,35.2390217833,128.5867714358,2020-07-14,5670000,경상남도 창원시
구암1동새마을문고,경상남도,창원시,작은도서관,국가지정공휴일,14:00,18:00,12:30,17:30,00:00,00:00,16,7118,0,0,2,14,경상남도 창원시 마산회원구 구암서7길 9,구암1동 새마을문고분회,055-255-8722,347,63,,35.249784,128.592718,2020-07-14,5670000,경상남도 창원시
구암2동새마을문고,경상남도,창원시,작은도서관,매주토/일요일+국가지정공휴일,12:00,18:00,00:00,00:00,00:00,00:00,40,11418,0,13,5,14,경상남도 창원시 마산회원구 구암남16길12,새마을문고구암2동분회,055-251-2477,,,,35.2490126129,128.598426,2020-07-14,5670000,경상남도 창원시
대동다숲새마을문고,경상남도,창원시,작은도서관,매주일요일+국가지정공휴일,11:00,17:00,10:00,12:30,00:00,00:00,15,7499,1,37,5,14,"경상남도 창원시 진해구 행암로 25(장천동, 대동다숲아파트 114동 반지하)",대동다숲도서관운영위원회,070-7760-8893,91,91,,35.1292309178,128.7047560473,2020-07-14,5670000,경상남도 창원시
우성아파트새마을문고,경상남도,창원시,작은도서관,국가지정공휴일+홀수토요일,10:00,18:00,10:00,13:00,00:00,00:00,20,8100,1,0,3,14,경상남도 창원시 진해구 충장로575,우성아파트도서관운영위원회,055-547-0331,280,159,,35.1379688011,128.7027352367,2020-07-14,5670000,경상남도 창원시
한림리츠빌새마을문고,경상남도,창원시,작은도서관,국가지정공휴일+매주2째4째토요일,12:00,18:00,09:00,14:00,00:00,00:00,12,7800,0,0,5,14,"경상남도 창원시 진해구 풍호로 68, 한림리츠빌관리소 2층(풍호동)",한림리츠빌도서운영위원회,055-980-6413,38,38,,35.1386593564,128.7095034962,2020-07-14,5670000,경상남도 창원시
전라남도학생교육문화회관,전라남도,여수시,공공도서관,둘째 넷째주 월요일,09:00,18:00,09:00,18:00,00:00,00:00,45,200392,93,23268,10,14,여수시 대통1길 55,전라남도교육청,061-808-0114,,,,,,2020-07-01,8490000,전라남도교육청
(순천만생태문화교육원),전라남도,순천시,공공도서관,둘째 넷째주 월요일,09:00,20:00,09:00,17:00,09:00,17:00,150,9830,46,0,3,14,순천시생태배움길22,전라남도교육청,061-811-3177,27055,19007,http://jseco.jne.go.kr,34.931000,127.514000,2020-07-01,8490000,전라남도교육청
목포공공도서관,전라남도,목포시,공공도서관,둘째 넷째주 월요일,07:00,22:00,07:00,22:00,00:00,00:00,1600,322911,121,23215,10,15,목포시 원산주택로3번길 6,전라남도교육청,061-270-3800,4721,6065,http:://mplib.jne.go.kr,34.807432,126.376161,2020-07-01,8490000,전라남도교육청
나주공공도서관,전라남도,나주시,공공도서관,둘째 넷째주 월요일,09:00,18:00,09:00,18:00,00:00,00:00,1300,303863,145,36372,10,15,나주시 남고문로 51,전라남도교육청,061-330-6750,6631,6225,http:njlib.jne.go.kr,35.028952,126.714373,2020-07-01,8490000,전라남도교육청
전라남도광양평생교육관,전라남도,광양시,공공도서관,법정공휴일(일요일 제외),09:00,21:30,09:00,18:00,09:00,18:00,70,96037,0,9404,96037,15,광양시 안산길 23,전라남도광양평생교육관,061-815-1611,,,,,,2020-07-01,8490000,전라남도교육청
위드파크환경도서관,경상남도,창원시,작은도서관,매주일요일/국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,45,11098,7,128,5,14,경상남도 창원시 성산구 가양로99(남양동),창원환경교육센터,055-262-5944,255,255,,35.2090307167,128.7033394747,2020-07-14,5670000,경상남도 창원시
숲속마을도서관,경상남도,창원시,작은도서관,국가지정공휴일,09:30,18:30,10:00,16:00,00:00,00:00,30,14149,2,0,2,14,경상남도 창원시 마산회원구 내서읍 삼계본동1길 86,숲속책마을,055-252-0882,,,,35.231866,128.4966014278,2020-07-14,5670000,경상남도 창원시
이미지작은도서관,경상남도,창원시,작은도서관,국가지정공휴일,09:00,06:00,09:00,16:00,00:00,00:00,16,17479,4,200,2,14,경상남도 창원시 마산회원구 내서읍 광려로 29,입주자대표회,055-294-9537,,,,35.2240135395,128.5032544192,2020-07-14,5670000,경상남도 창원시
책사랑내서마을도서관,경상남도,창원시,작은도서관,국가지정공휴일,10:00,19:00,10:00,16:00,00:00,00:00,40,21335,3,455,2,14,경상남도 창원시 마산회원구 내서읍 광려천북로 202,책사랑회,055-297-4724,,,,35.2676529005,128.5239018791,2020-07-14,5670000,경상남도 창원시
하늘채문화의집,경상남도,창원시,작은도서관,국가지정공휴일,09:00,18:00,10:00,16:00,00:00,00:00,20,17320,12,250,2,14,경상남도 창원시 마산회원구 내서읍 호원로 359-1,입주자대표회,055-292-0484,,,,35.265622,128.5243432063,2020-07-14,5670000,경상남도 창원시
내서읍새마을문고,경상남도,창원시,작은도서관,매주토요일+국가지정공휴일,10:00,17:00,00:00,00:00,00:00,00:00,10,9370,3,0,2,14,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,새마을문고내서읍분회,055-231-3604,,,,35.2467855313,128.5076516837,2020-07-14,5670000,경상남도 창원시
회원1동새마을문고,경상남도,창원시,작은도서관,국가지정공휴일,13:00,18:00,10:00,13:00,00:00,00:00,18,5960,7,20,5,24,경상남도 창원시 마산회원구 회원동11길7,회원1동새마을문고,055-248-8427,,67,,35.2183798038,128.5740826404,2020-07-14,5670000,경상남도 창원시
병점도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,463,149013,89,4569,7,14,경기도 화성시 병점3로 132-6,화성시문화재단,031-226-1822,49171,2620,www.hscitylib.or.kr,37.2123443520,127.0461084594,2020-09-10,5530000,경기도 화성시
봉담도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,737,120473,98,3607,7,14,경기도 화성시 봉담읍 샘마을1길 8-4,화성시문화재단,031-227-7281,2394,4574,www.hscitylib.or.kr,37.21941336,126.9490155,2020-09-10,5530000,경기도 화성시
동탄복합문화센터 도서관,경기도,화성시,공공도서관,2번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,1066,188591,147,3995,7,14,경기도 화성시 노작로134,화성시문화재단,031-8015-8200,40397,6464,www.hscitylib.or.kr,37.2006875692,127.0751221069,2020-09-10,5530000,경기도 화성시
송산도서관,경기도,화성시,공공도서관,1번째 월요일 및 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,406,80371,47,3002,7,14,경기도 화성시 송산면 삼일공원로87,화성시문화재단,031-355-3598,8070,3907,www.hscitylib.or.kr,37.2167813302,126.7392488530,2020-09-10,5530000,경기도 화성시
밀양향교작은도서관,경상남도,밀양시,공공도서관,"매주 월요일, 신정, 구정, 추석 연휴일, 기타 도서관장이 정한 날",09:00,18:00,09:00,18:00,09:00,18:00,0,2100,0,0,3,14,경상남도 밀양시 밀양향교 3길 19(교동),경상남도 밀양시,055-356-6051,158,158,https://www.myclib.or.kr/web/index.do?mnNo=104030000,35.5066057332,128.7545381496,2020-06-30,5360000,경상남도 밀양시
월야 작은도서관,전라남도,함평군,작은도서관,매주 월요일,10:00,18:00,10:00,18:00,10:00,18:00,18,4520,0,0,3,14,전라남도 함평군 월야면 밀재로 1543,전라남도 함평군청,061-320-3807,984,111.5,,35.1792517417,126.6308120379,2020-09-03,4960000,전라남도 함평군
효목2동 작은도서관,대구광역시,동구,작은도서관,"매주 토/일요일, 관공서 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,45,5921,5,0,10,15,대구광역시 동구 화랑로25길 45,(재)대구광역시 동구문화재단,053-662-3794,,118.8,https://library.daegu.go.kr/donggu,35.878152,128.641247,2021-05-17,3420000,대구광역시 동구
도평동 작은도서관,대구광역시,동구,작은도서관,"매주 토/일요일, 관공서 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,50,6653,5,0,10,15,대구광역시 동구 팔공로24길 171,(재)대구광역시 동구문화재단,053-662-3810,,126.51,https://library.daegu.go.kr/donggu,35.90997576,128.6501287,2021-05-17,3420000,대구광역시 동구
불로어울림 작은도서관,대구광역시,동구,작은도서관,"매주 토/일요일, 관공서 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,45,7930,5,0,10,15,대구광역시 동구 팔공로24길 5,(재)대구광역시 동구문화재단,070-4214-0007,,138.85,https://library.daegu.go.kr/donggu,35.90964286,128.641811,2021-05-17,3420000,대구광역시 동구
지저동 작은도서관,대구광역시,동구,작은도서관,"매주 토/일요일, 관공서 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,55,7349,5,0,10,15,대구광역시 동구 해동로 7길 14,(재)대구광역시 동구문화재단,070-7755-5633,,162,https://library.daegu.go.kr/donggu,35.893708,128.638279,2021-05-17,3420000,대구광역시 동구
동촌역사 작은도서관,대구광역시,동구,작은도서관,"매주 토/일요일, 관공서 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,50,5944,5,0,10,15,대구광역시 동구 동촌역사로 3길 35,(재)대구광역시 동구문화재단,070-4214-6859,,166.51,https://library.daegu.go.kr/donggu,35.890163,128.649818,2021-05-17,3420000,대구광역시 동구
해안동 작은도서관,대구광역시,동구,작은도서관,"매주 토/일요일, 관공서 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,38,5472,5,0,10,15,대구광역시 동구 방촌로 29길 46,(재)대구광역시 동구문화재단,070-7755-5632,,85.56,https://library.daegu.go.kr/donggu,35.882076,128.671675,2021-05-17,3420000,대구광역시 동구
신길7동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,18,7998,0,0,2,14,서울특별시 영등포구 여의대방로43길10,서울특별시 영등포구청,070-8895-1186,,39,https://www.ydplib.or.kr/small,37.506385,126.9215136,2021-05-27,3180000,서울특별시 영등포구
신길6동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,30,11365,0,0,2,14,서울특별시 영등포구 대방천로 193,서울특별시 영등포구청,02-835-7476,,96,https://www.ydplib.or.kr/small,37.49920238,126.9124289,2021-05-27,3180000,서울특별시 영등포구
신길5동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,6,8822,0,0,2,14,서울특별시 영등포구 도림로264,서울특별시 영등포구청,02-836-1005,,66,https://www.ydplib.or.kr/small,37.501614,126.9052198,2021-05-27,3180000,서울특별시 영등포구
신길4동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,20,7866,0,0,2,14,서울특별시 영등포구 신길로42길1,서울특별시 영등포구청,02-3457-7688,,36,https://www.ydplib.or.kr/small,37.508428,126.911278,2021-05-27,3180000,서울특별시 영등포구
신길3동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,6,7045,0,0,2,14,서울특별시 영등포구 신길로41라길13-8,서울특별시 영등포구청,02-846-0399,,40,https://www.ydplib.or.kr/small,37.507285,126.9077506,2021-05-27,3180000,서울특별시 영등포구
신길1동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,25,13140,0,0,2,14,서울특별시 영등포구 영등포로84길24-5,서울특별시 영등포구청,070-8895-1184,,97,https://www.ydplib.or.kr/small,37.511135,126.9214408,2021-05-27,3180000,서울특별시 영등포구
양평2동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,8,5591,0,0,2,14,서울특별시영등포구 선유로47길30(4층),서울특별시 영등포구청,02-2679-5252,,36,https://www.ydplib.or.kr/small,37.5365013611,126.8940377,2021-05-27,3180000,서울특별시 영등포구
양평1동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,8,6351,0,0,2,14,서울특별시 영등포구 영등포로11길12,서울특별시 영등포구청,02-2670-1198,,34,https://www.ydplib.or.kr/small,37.523615,126.8882277,2021-05-27,3180000,서울특별시 영등포구
문래동공립작은도서관,서울특별시,영등포구,작은도서관,"매주토,일요일",10:00,17:00,00:00,00:00,00:00,00:00,50,5760,0,0,2,14,서울특별시 영등포구 도림로141가길16,서울특별시 영등포구청,02-2068-8919,,80,https://www.ydplib.or.kr/small,37.5155327,126.8913572,2021-05-27,3180000,서울특별시 영등포구
밀양시립도서관,경상남도,밀양시,공공도서관,"매주 월요일, 신정, 구정, 추석 연휴일, 기타 도서관장이 정한 날",09:00,18:00,09:00,18:00,09:00,18:00,441,151350,100,7056,5,14,경상남도 밀양시 중앙로 265(삼문동),경상남도 밀양시,055-359-6026,5629,5907,http://www.myclib.or.kr,35.4867908044,128.7548534990,2020-06-30,5360000,경상남도 밀양시
밀양달뫼작은도서관,경상남도,밀양시,공공도서관,"매주 월요일, 신정, 구정, 추석 연휴일, 기타 도서관장이 정한 날",09:00,18:00,09:00,18:00,09:00,18:00,0,2314,0,0,3,14,경상남도 밀양시 부북면 창밀로 3097-16,경상남도 밀양시,055-355-6052,100,100,https://www.myclib.or.kr/web/index.do?mnNo=104040000,35.5334762662,128.7046157489,2020-06-30,5360000,경상남도 밀양시
반월작은도서관,경상남도,창원시,작은도서관,매주월요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,63,11925,12,175,5,14,경상남도 창원시 마산합포구 3·15대로 121,반월중앙동주민자치위원회,055-221-8160,813,1143,,35.1903617281,128.562451,2020-07-14,5670000,경상남도 창원시
부림희망작은도서관,경상남도,창원시,작은도서관,매주일요일+국가지정공휴일,09:00,18:00,09:00,16:00,00:00,00:00,24,6577,9,26,3,14,경상남도 창원시 마산합포구 3·15대로 346,평생교육문화협회,070-8883-0531,84,84,http://cafe.naver.com/burimlibrary,35.2054563071,128.5729547154,2020-07-14,5670000,경상남도 창원시
무학산블루밍작은도서관,경상남도,창원시,작은도서관,매주일요일+국자지정공휴일,09:00,18:00,09:00,16:00,00:00,00:00,24,6809,1,120,2,14,경상남도 창원시 마산합포구 노산서 18길 142,무학산블루밍아파트입주자대표회의,055-245-5730,175,175,,35.2160775144,128.5625774897,2020-07-14,5670000,경상남도 창원시
상곡어울림작은도서관,경상남도,창원시,작은도서관,국가지정공휴일,10:00,19:00,10:00,17:00,00:00,00:00,18,9298,0,0,2,14,경상남도 창원시 마산회원구 내서읍 중리상곡로 18,새마을운동창원시지회,070-8723-4204,,,,35.2430592301,128.5049461447,2020-07-14,5670000,경상남도 창원시
